Date,Package,Title
2019-01-17,apcf,Adapted Pair Correlation Function
2019-01-17,behaviorchange,Tools for Behavior Change Researchers and Professionals
2019-01-17,busdater,Standard Date Calculations for Business
2019-01-17,carbonate,Interact with 'carbon.js'
2019-01-17,casino,Play Casino Games
2019-01-17,colourvalues,Assigns Colours to Values
2019-01-17,dad,Three-Way / Multigroup Data Analysis Through Densities
2019-01-17,DHARMa,"Residual Diagnostics for Hierarchical (Multi-Level / Mixed)
Regression Models"
2019-01-17,DSAIRM,Dynamical Systems Approach to Immune Response Modeling
2019-01-17,ecmwfr,Interface to the 'ECMWF' Data Web Services
2019-01-17,epimdr,"Functions and Data for ""Epidemics: Models and Data in R"""
2019-01-17,ffmanova,Fifty-Fifty MANOVA
2019-01-17,foto,Fourier Transform Textural Ordination
2019-01-17,future.apply,Apply Function to Elements in Parallel using Futures
2019-01-17,glmnetUtils,Utilities for 'Glmnet'
2019-01-17,inventorize,Inventory Analytics and Cost Calculations
2019-01-17,iotables,Importing and Manipulating Symmetric Input-Output Tables
2019-01-17,lcpm,Ordinal Outcomes: Generalized Linear Models with the Log Link
2019-01-17,mldr.datasets,R Ultimate Multilabel Dataset Repository
2019-01-17,NormalBetaPrime,Normal Beta Prime Prior
2019-01-17,openssl,"Toolkit for Encryption, Signatures and Certificates Based on
OpenSSL"
2019-01-17,palettesForR,GPL Palettes Copied from Gimp and Inkscape
2019-01-17,pense,Penalized Elastic Net S/MM-Estimator of Regression
2019-01-17,pogit,Bayesian Variable Selection for a Poisson-Logistic Model
2019-01-17,prabclus,"Functions for Clustering of Presence-Absence, Abundance and
Multilocus Genetic Data"
2019-01-17,QuantumOps,"Performs Common Linear Algebra Operations Used in Quantum
Computing"
2019-01-17,quRan,Complete Text of the Qur'an
2019-01-17,randomsearch,Random Search for Expensive Functions
2019-01-17,rbacon,Age-Depth Modelling using Bayesian Statistics
2019-01-17,RCALI,Calculation of the Integrated Flow of Particles Between Polygons
2019-01-17,RcppArmadillo,"'Rcpp' Integration for the 'Armadillo' Templated Linear Algebra
Library"
2019-01-17,Rd,Rd Manipulation and Creation
2019-01-17,riskclustr,Functions to Study Etiologic Heterogeneity
2019-01-17,RMCriteria,Multicriteria Package
2019-01-17,rsparkling,R Interface for H2O Sparkling Water
2019-01-17,rstpm2,Generalized Survival Models
2019-01-17,rym,R Interface to Yandex Metrica API
2019-01-17,segmentr,Segment Data With Maximum Likelihood
2019-01-17,segMGarch,"Multiple Change-Point Detection for High-Dimensional GARCH
Processes"
2019-01-17,stats19,Work with Open Road Traffic Casualty Data from Great Britain
2019-01-17,StepReg,Stepwise Regression Analysis
2019-01-17,textrank,Summarize Text by Ranking Sentences and Finding Keywords
2019-01-17,tosca,Tools for Statistical Content Analysis
2019-01-17,trialr,Clinical Trial Designs in 'RStan'
2019-01-17,TropFishR,Tropical Fisheries Analysis
2019-01-16,activity,Animal Activity Statistics
2019-01-16,apollo,Tools for Estimating Discrete Choice Models
2019-01-16,arsenal,"An Arsenal of 'R' Functions for Large-Scale Statistical
Summaries"
2019-01-16,basefun,Infrastructure for Computing with Basis Functions
2019-01-16,bfp,Bayesian Fractional Polynomials
2019-01-16,binneR,"Spectral Processing for High Resolution Flow Infusion Mass
Spectrometry"
2019-01-16,boxoffice,Downloads Box Office Information for Given Dates
2019-01-16,BSL,Bayesian Synthetic Likelihood
2019-01-16,bst,Gradient Boosting
2019-01-16,BuyseTest,Generalized Pairwise Comparisons
2019-01-16,climdex.pcic,PCIC Implementation of Climdex Routines
2019-01-16,cobalt,Covariate Balance Tables and Plots
2019-01-16,DRomics,Dose Response for Omics
2019-01-16,FuzzyNumbers,Tools to Deal with Fuzzy Numbers
2019-01-16,geiger,Analysis of Evolutionary Diversification
2019-01-16,ggimage,Use Image in 'ggplot2'
2019-01-16,GPfit,Gaussian Processes Modeling
2019-01-16,heatwaveR,Detect Heatwaves and Cold-Spells
2019-01-16,insol,Solar Radiation
2019-01-16,intccr,"Semiparametric Competing Risks Regression under Interval
Censoring"
2019-01-16,kableExtra,Construct Complex Table with 'kable' and Pipe Syntax
2019-01-16,logging,R Logging Package
2019-01-16,mboxr,Converting an Mbox File into a Tibble
2019-01-16,meditations,Prints a Random Quote from Marcus Aurelius' Book Meditations
2019-01-16,memor,A 'rmarkdown' Template that Can be Highly Customized
2019-01-16,mldr,"Exploratory Data Analysis and Manipulation of Multi-Label Data
Sets"
2019-01-16,modQR,Multiple-Output Directional Quantile Regression
2019-01-16,netchain,"Inferring Causal Effects on Collective Outcomes under
Interference"
2019-01-16,nnfor,Time Series Forecasting with Neural Networks
2019-01-16,optweight,Targeted Stable Balancing Weights Using Optimization
2019-01-16,pdftools,"Text Extraction, Rendering and Converting of PDF Documents"
2019-01-16,perturb,Tools for Evaluating Collinearity
2019-01-16,quadmesh,Quadrangle Mesh
2019-01-16,Quartet,"Comparison of Phylogenetic Trees Using Quartet and Bipartition
Measures"
2019-01-16,radtools,Utilities for Convenient Extraction of Medical Image Metadata
2019-01-16,RegSDC,"Information Preserving Regression-Based Tools for Statistical
Disclosure Control"
2019-01-16,REndo,"Fitting Linear Models with Endogenous Regressors using Latent
Instrumental Variables"
2019-01-16,rugarch,Univariate GARCH Models
2019-01-16,SMPracticals,Practicals for Use with Davison (2003) Statistical Models
2019-01-16,ssMousetrack,"Bayesian State-Space Modeling of Mouse-Tracking Experiments via
Stan"
2019-01-16,steemr,A Tool for Processing Steem Data
2019-01-16,TcGSA,Time-Course Gene Set Analysis
2019-01-16,timevis,Create Interactive Timeline Visualizations in R
2019-01-16,treedater,"Fast Molecular Clock Dating of Phylogenetic Trees with Rate
Variation"
2019-01-16,trtf,Transformation Trees and Forests
2019-01-16,TukeyC,Conventional Tukey Test
2019-01-16,ufs,Quantitative Analysis Made Accessible
2019-01-16,WeightIt,Weighting for Covariate Balance in Observational Studies
2019-01-15,BioMedR,"Generating Various Molecular Representations for Chemicals,
Proteins, DNAs, RNAs and Their Interactions"
2019-01-15,BUCSS,Bias and Uncertainty Corrected Sample Size
2019-01-15,bujar,"Buckley-James Regression for Survival Data with High-Dimensional
Covariates"
2019-01-15,checkmate,Fast and Versatile Argument Checks
2019-01-15,ciuupi,Confidence Intervals Utilizing Uncertain Prior Information
2019-01-15,coda.base,A Basic Set of Functions for Compositional Data Analysis
2019-01-15,Copula.Markov,"Copula-Based Estimation and Statistical Process Control for
Serially Correlated Time Series"
2019-01-15,easyalluvial,Generate Alluvial Plots with a Single Line of Code
2019-01-15,emulator,Bayesian Emulation of Computer Programs
2019-01-15,epitrix,Small Helpers and Tricks for Epidemics Analysis
2019-01-15,extremefit,Estimation of Extreme Conditional Quantiles and Probabilities
2019-01-15,GEint,Misspecified Models for Gene-Environment Interaction
2019-01-15,ggmuller,Create Muller Plots of Evolutionary Dynamics
2019-01-15,highcharter,A Wrapper for the 'Highcharts' Library
2019-01-15,icesVocab,ICES Vocabularies Database Web Services
2019-01-15,incidence,"Compute, Handle, Plot and Model Incidence of Dated Events"
2019-01-15,ledger,Utilities for Importing Data from Plain Text Accounting Files
2019-01-15,misaem,Logistic Regression with Missing Covariates
2019-01-15,MM4LMM,Inference of Linear Mixed Models Through MM Algorithm
2019-01-15,msde,"Bayesian Inference for Multivariate Stochastic Differential
Equations"
2019-01-15,MXM,"Feature Selection (Including Multiple Solutions) and Bayesian
Networks"
2019-01-15,NlinTS,Non Linear Time Series Analysis
2019-01-15,nonet,Weighted Average Ensemble without Training Labels
2019-01-15,optparse,Command Line Option Parser
2019-01-15,ProFit,Fit Projected 2D Profiles to Galaxy Images
2019-01-15,rbugs,Fusing R and OpenBugs and Beyond
2019-01-15,rdflib,Tools to Manipulate and Query Semantic Data
2019-01-15,reactR,React Helpers
2019-01-15,RGF,Regularized Greedy Forest
2019-01-15,RIdeogram,"Drawing SVG Graphics to Visualize and Map Genome-Wide Data in
Idiograms"
2019-01-15,rmgarch,Multivariate GARCH Models
2019-01-15,SnowballC,Snowball Stemmers Based on the C 'libstemmer' UTF-8 Library
2019-01-15,soilDB,Soil Database Interface
2019-01-14,bioacoustics,"Analyse Audio Recordings and Automatically Extract Animal
Vocalizations"
2019-01-14,BIOMASS,"Estimating Aboveground Biomass and Its Uncertainty in Tropical
Forests"
2019-01-14,Brq,Bayesian Analysis of Quantile Regression Models
2019-01-14,CAvariants,Correspondence Analysis Variants
2019-01-14,clam,Classical Age-Depth Modelling of Cores from Deposits
2019-01-14,cts,Continuous Time Autoregressive Models
2019-01-14,double.truncation,Analysis of Doubly-Truncated Data
2019-01-14,gbm,Generalized Boosted Regression Models
2019-01-14,ibmsunburst,Generate Personality Insights Sunburst Diagrams
2019-01-14,ICAOD,Optimal Designs for Nonlinear Models
2019-01-14,JumpTest,Financial Jump Detection
2019-01-14,landsepi,Landscape Epidemiology and Evolution
2019-01-14,LLSR,Data Analysis of Liquid-Liquid Systems
2019-01-14,MESS,Miscellaneous Esoteric Statistical Scripts
2019-01-14,metaviz,"Forest Plots, Funnel Plots, and Visual Funnel Plot Inference for
Meta-Analysis"
2019-01-14,mpath,Regularized Linear Models
2019-01-14,multipanelfigure,Infrastructure to Assemble Multi-Panel Figures (from Grobs)
2019-01-14,mvp,Fast Symbolic Multivariate Polynomials
2019-01-14,namedCapture,Named Capture Regular Expressions
2019-01-14,osrmr,Wrapper for the 'OSRM' API
2019-01-14,particles,A Graph Based Particle Simulator Based on D3-Force
2019-01-14,pbmcapply,Tracking the Progress of Mc*pply with Progress Bar
2019-01-14,psycho,"Efficient and Publishing-Oriented Workflow for Psychological
Science"
2019-01-14,qwraps2,Quick Wraps 2
2019-01-14,RapidPolygonLookup,POLYGON LOOKUP USING KD TREES
2019-01-14,rcrossref,Client for Various 'CrossRef' 'APIs'
2019-01-14,readabs,"Read 'Excel' Files from the Australian Bureau of Statistics into
Tidy Data Sets"
2019-01-14,recombinator,Recombinate Nested Lists to Dataframes
2019-01-14,rfm,"Recency, Frequency and Monetary Value Analysis"
2019-01-14,rnoaa,'NOAA' Weather Data from R
2019-01-14,scorecard,Credit Risk Scorecard
2019-01-14,segregation,Entropy-Based Segregation Indices
2019-01-14,spaMM,"Mixed-Effect Models, Particularly Spatial Models"
2019-01-14,ssa,Simultaneous Signal Analysis
2019-01-14,timereg,Flexible Regression Models for Survival Data
2019-01-14,TSVC,Tree-Structured Modelling of Varying Coefficients
2019-01-13,askpass,"Safe Password Entry for R, Git, and SSH"
2019-01-13,auRoc,Various Methods to Estimate the AUC
2019-01-13,bspmma,Bayesian Semiparametric Models for Meta-Analysis
2019-01-13,CINNA,Deciphering Central Informative Nodes in Network Analysis
